transaction_id,order_id,payment_method,payment_provider,transaction_date,amount,currency,status,card_last_four,authorization_code,processing_fee
8001,3001,Bank Transfer,ACH,2024-10-27 10:42:00,3763.42,USD,Completed,,AUTH869490,61.2
8002,3002,Apple Pay,Apple,2024-10-10 12:34:00,1489.66,USD,Completed,,AUTH532073,52.07
8003,3003,PayPal,PayPal,2024-03-01 09:23:00,10.32,USD,Completed,,AUTH983724,0.22
8004,3004,PayPal,PayPal,2023-10-01 17:08:00,1693.61,USD,Completed,,AUTH800024,39.04
8005,3005,Credit Card,Stripe,2023-10-22 12:44:00,1762.39,USD,Refunded,8316,AUTH410814,41.39
8006,3006,Credit Card,Stripe,2024-03-26 14:09:00,9.13,USD,Completed,6190,AUTH548810,0.23
8007,3007,Google Pay,Google,2024-12-03 14:41:00,517.62,USD,Completed,,AUTH834840,10.75
8008,3008,Bank Transfer,ACH,2024-03-07 15:54:00,37.65,USD,Completed,,AUTH863008,1.14
8009,3009,PayPal,PayPal,2024-12-27 15:53:00,56.87,USD,Completed,,AUTH442946,1.12
8010,3010,PayPal,PayPal,2023-10-17 13:49:00,3759.2,USD,Completed,,AUTH890911,73.2
8011,3011,Google Pay,Google,2023-08-26 17:45:00,6623.01,USD,Refunded,,AUTH895777,144.64
8012,3012,Bank Transfer,ACH,2023-04-10 07:15:00,10469.18,USD,Completed,,AUTH593881,267.92
8013,3013,Credit Card,Stripe,2023-03-15 11:06:00,6084.6,USD,Completed,6113,AUTH695999,133.97
8014,3014,Credit Card,Stripe,2024-05-25 15:51:00,118.28,USD,Completed,2607,AUTH228949,3.97
8015,3015,Debit Card,Square,2023-12-27 17:44:00,521.17,USD,Completed,1224,AUTH697418,13.15
8016,3016,PayPal,PayPal,2023-11-27 17:15:00,184.48,USD,Completed,,AUTH997051,4.06
8017,3017,Apple Pay,Apple,2024-12-13 22:16:00,36.87,USD,Failed,,AUTH115172,0.64
8018,3018,Debit Card,Square,2023-06-06 11:22:00,3862.81,USD,Refunded,5322,AUTH801256,124.46
8019,3019,Debit Card,Square,2023-10-13 09:19:00,1399.46,USD,Completed,6168,AUTH718020,38.49
8020,3020,Apple Pay,Apple,2023-11-22 11:16:00,6196.36,USD,Refunded,,AUTH223831,106.67
8021,3021,PayPal,PayPal,2023-11-27 22:30:00,204.07,USD,Completed,,AUTH342842,5.9
8022,3022,PayPal,PayPal,2023-08-07 07:46:00,3987.85,USD,Completed,,AUTH812069,73.23
8023,3023,Credit Card,Stripe,2024-11-13 15:31:00,982.52,USD,Refunded,7699,AUTH807230,30.21
8024,3024,PayPal,PayPal,2024-06-27 11:17:00,2095.14,USD,Completed,,AUTH535871,43.71
8025,3025,Debit Card,Square,2024-06-02 08:45:00,309.24,USD,Completed,5490,AUTH720627,8.39
8026,3026,Apple Pay,Apple,2023-05-04 16:24:00,7724.26,USD,Completed,,AUTH467804,188.37
8027,3027,Bank Transfer,ACH,2023-01-22 21:40:00,4108.48,USD,Completed,,AUTH504718,80.36
8028,3028,Credit Card,Stripe,2024-01-14 08:33:00,180.06,USD,Completed,2080,AUTH195666,2.72
8029,3029,PayPal,PayPal,2023-08-20 20:41:00,3708.28,USD,Completed,,AUTH968820,86.52
8030,3030,Debit Card,Square,2024-06-02 10:00:00,3181.86,USD,Completed,2922,AUTH807721,107.04
8031,3031,Debit Card,Square,2024-12-18 18:46:00,1361.0,USD,Completed,8728,AUTH817460,29.14
8032,3032,Credit Card,Stripe,2024-11-20 16:15:00,1466.71,USD,Completed,8245,AUTH998903,27.93
8033,3033,Debit Card,Square,2024-10-25 08:17:00,69.76,USD,Completed,3534,AUTH527166,1.95
8034,3034,PayPal,PayPal,2023-08-12 22:11:00,2523.93,USD,Completed,,AUTH270370,50.37
8035,3035,Google Pay,Google,2024-04-26 19:18:00,491.15,USD,Completed,,AUTH131695,15.24
8036,3036,Debit Card,Square,2024-11-26 15:31:00,1730.56,USD,Completed,7850,AUTH808837,52.81
8037,3037,Google Pay,Google,2024-04-04 13:55:00,482.8,USD,Completed,,AUTH100825,14.35
8038,3038,PayPal,PayPal,2023-11-14 07:37:00,90.98,USD,Completed,,AUTH345639,1.43
8039,3039,PayPal,PayPal,2023-05-07 19:07:00,1637.47,USD,Completed,,AUTH587247,51.61
8040,3040,Credit Card,Stripe,2023-12-16 15:50:00,96.54,USD,Completed,1980,AUTH593679,2.66
8041,3041,PayPal,PayPal,2024-12-16 11:48:00,271.64,USD,Completed,,AUTH671799,9.16
8042,3042,Credit Card,Stripe,2024-08-19 17:35:00,358.23,USD,Completed,8370,AUTH248046,9.7
8043,3043,Debit Card,Square,2024-02-06 13:27:00,6423.52,USD,Completed,4763,AUTH784745,130.13
8044,3044,Credit Card,Stripe,2024-07-11 16:15:00,2785.56,USD,Completed,4998,AUTH145766,70.24
8045,3045,Debit Card,Square,2024-07-13 18:49:00,3108.75,USD,Completed,5471,AUTH148470,65.02
8046,3046,PayPal,PayPal,2023-07-22 22:28:00,641.43,USD,Completed,,AUTH442691,17.1
8047,3047,Bank Transfer,ACH,2023-08-07 22:21:00,175.43,USD,Refunded,,AUTH748667,4.39
8048,3048,Credit Card,Stripe,2023-10-21 15:05:00,3954.68,USD,Completed,4241,AUTH923098,110.64
8049,3049,PayPal,PayPal,2023-07-20 09:16:00,36.66,USD,Completed,,AUTH535380,0.89
8050,3050,Debit Card,Square,2023-07-19 09:44:00,412.39,USD,Completed,5184,AUTH324620,6.97
8051,3051,Debit Card,Square,2023-04-14 17:32:00,55.49,USD,Completed,1804,AUTH100826,1.9
8052,3052,Apple Pay,Apple,2023-09-20 14:41:00,1009.82,USD,Completed,,AUTH157839,27.97
8053,3053,Apple Pay,Apple,2024-10-18 10:14:00,314.56,USD,Completed,,AUTH110380,6.05
8054,3054,Credit Card,Stripe,2023-08-13 17:09:00,1642.4,USD,Completed,1392,AUTH628560,28.98
8055,3055,Credit Card,Stripe,2023-09-28 18:18:00,7130.12,USD,Completed,4174,AUTH880422,215.29
8056,3056,Bank Transfer,ACH,2023-07-07 21:01:00,182.63,USD,Completed,,AUTH698443,3.16
8057,3057,PayPal,PayPal,2024-11-03 10:15:00,770.8,USD,Completed,,AUTH133916,19.85
8058,3058,PayPal,PayPal,2023-10-13 19:43:00,8083.74,USD,Completed,,AUTH557954,122.52
8059,3059,Google Pay,Google,2023-06-24 15:19:00,3510.24,USD,Refunded,,AUTH100311,59.73
8060,3060,Credit Card,Stripe,2024-04-26 22:28:00,386.24,USD,Completed,6541,AUTH790889,9.28
8061,3061,Credit Card,Stripe,2024-10-03 18:03:00,203.88,USD,Completed,2617,AUTH236381,4.67
8062,3062,Bank Transfer,ACH,2024-08-24 10:55:00,1207.96,USD,Refunded,,AUTH399349,41.93
8063,3063,Bank Transfer,ACH,2023-09-25 18:58:00,1189.06,USD,Completed,,AUTH125331,25.85
8064,3064,Apple Pay,Apple,2024-09-13 10:22:00,5125.74,USD,Completed,,AUTH785942,143.48
8065,3065,Google Pay,Google,2024-08-15 07:28:00,676.24,USD,Completed,,AUTH445566,12.54
8066,3066,Bank Transfer,ACH,2023-11-09 15:57:00,1199.12,USD,Completed,,AUTH401194,35.36
8067,3067,Apple Pay,Apple,2023-11-26 07:35:00,2322.53,USD,Completed,,AUTH660340,50.79
8068,3068,Debit Card,Square,2024-02-27 09:01:00,2792.36,USD,Completed,1283,AUTH568988,85.33
8069,3069,Credit Card,Stripe,2023-07-13 20:39:00,202.33,USD,Refunded,7944,AUTH491142,5.32
8070,3070,Credit Card,Stripe,2023-10-24 14:36:00,2117.64,USD,Failed,4803,AUTH297606,33.25
8071,3071,PayPal,PayPal,2024-09-01 12:33:00,4152.94,USD,Completed,,AUTH143210,106.23
8072,3072,Credit Card,Stripe,2023-04-22 14:47:00,2628.73,USD,Completed,9889,AUTH227645,86.26
8073,3073,PayPal,PayPal,2024-11-21 10:12:00,919.9,USD,Completed,,AUTH520947,28.37
8074,3074,PayPal,PayPal,2024-05-24 19:15:00,1805.66,USD,Completed,,AUTH936801,62.24
8075,3075,Debit Card,Square,2023-12-19 11:28:00,943.62,USD,Completed,7125,AUTH792655,15.17
8076,3076,Debit Card,Square,2024-10-24 11:41:00,4926.0,USD,Completed,9698,AUTH466132,159.22
8077,3077,Debit Card,Square,2023-07-09 22:05:00,70.2,USD,Completed,5594,AUTH375667,1.3
8078,3078,Google Pay,Google,2023-12-28 07:12:00,4460.37,USD,Completed,,AUTH206917,137.27
8079,3079,PayPal,PayPal,2024-11-11 16:02:00,183.87,USD,Completed,,AUTH335359,5.93
8080,3080,Credit Card,Stripe,2023-06-07 21:09:00,42.0,USD,Completed,2544,AUTH903338,1.08
8081,3081,Credit Card,Stripe,2024-07-01 10:38:00,1634.8,USD,Completed,5364,AUTH278055,52.43
8082,3082,Credit Card,Stripe,2024-06-26 21:52:00,47.63,USD,Failed,5988,AUTH362614,1.52
8083,3083,Credit Card,Stripe,2024-12-18 10:46:00,776.91,USD,Completed,5825,AUTH587797,25.87
8084,3084,PayPal,PayPal,2024-10-17 12:53:00,86.16,USD,Completed,,AUTH909692,1.75
8085,3085,Debit Card,Square,2023-12-07 08:07:00,5393.72,USD,Completed,1380,AUTH843500,150.88
8086,3086,PayPal,PayPal,2023-09-25 20:23:00,3432.04,USD,Completed,,AUTH638782,66.51
8087,3087,Debit Card,Square,2023-03-20 11:10:00,5572.2,USD,Completed,7029,AUTH461743,126.0
8088,3088,Credit Card,Stripe,2023-04-24 09:06:00,1731.75,USD,Refunded,2555,AUTH200743,57.92
8089,3089,Debit Card,Square,2023-12-04 14:28:00,1708.71,USD,Completed,9827,AUTH932837,42.09
8090,3090,Debit Card,Square,2024-04-24 14:46:00,748.1,USD,Completed,6358,AUTH895282,25.28
8091,3091,Bank Transfer,ACH,2023-04-19 19:58:00,2848.12,USD,Completed,,AUTH109211,73.15
8092,3092,Debit Card,Square,2023-08-22 09:54:00,454.49,USD,Completed,3024,AUTH172171,8.65
8093,3093,Credit Card,Stripe,2023-10-15 12:06:00,3553.51,USD,Completed,1342,AUTH704735,104.4
8094,3094,Credit Card,Stripe,2023-12-20 11:22:00,56.8,USD,Completed,9944,AUTH962630,1.12
8095,3095,PayPal,PayPal,2024-02-08 07:21:00,4175.76,USD,Completed,,AUTH904296,63.4
8096,3096,PayPal,PayPal,2023-10-23 20:25:00,9085.53,USD,Completed,,AUTH510216,166.59
8097,3097,PayPal,PayPal,2023-10-03 22:31:00,3560.64,USD,Completed,,AUTH834035,70.69
8098,3098,Debit Card,Square,2023-06-05 22:05:00,73.21,USD,Completed,6281,AUTH308071,2.54
8099,3099,Apple Pay,Apple,2024-05-12 10:48:00,196.41,USD,Completed,,AUTH977058,4.29
8100,3100,Apple Pay,Apple,2023-06-27 11:58:00,5699.76,USD,Completed,,AUTH881107,157.2
8101,3101,PayPal,PayPal,2023-04-02 21:36:00,1226.49,USD,Completed,,AUTH105680,35.18
8102,3102,Debit Card,Square,2023-11-15 19:32:00,3087.26,USD,Completed,9717,AUTH574966,97.43
8103,3103,Bank Transfer,ACH,2024-03-04 18:37:00,2430.4,USD,Completed,,AUTH259382,77.56
