shipment_id,order_id,warehouse_id,carrier,tracking_number,ship_date,estimated_delivery,actual_delivery,shipping_cost,weight_lbs,status
7001,44393,4,DHL,1Z658AA279954000,2023-11-08 04:52:00,2023-11-12 04:52:00,2023-11-14 04:52:00,15.96,23.12,Delivered
7002,13549,3,USPS,1Z616AA381148734,2023-11-17 03:03:00,2023-11-24 03:03:00,,21.43,8.47,In Transit
7003,11919,3,USPS,1Z276AA407284826,2023-11-20 21:56:00,2023-11-24 21:56:00,,19.46,11.07,In Transit
7004,29287,4,DHL,1Z710AA682212475,2024-01-13 12:45:00,2024-01-18 12:45:00,,16.1,4.06,In Transit
7005,24291,5,FedEx,1Z756AA100288241,2024-12-29 20:24:00,2025-01-02 20:24:00,,24.34,4.7,In Transit
7006,47916,3,FedEx,1Z983AA730742710,2023-06-20 20:52:00,2023-06-27 20:52:00,,13.91,15.82,In Transit
7007,24845,5,UPS,1Z410AA059379583,2023-11-25 17:29:00,2023-12-02 17:29:00,2023-12-01 17:29:00,22.86,11.05,Delivered
7008,21520,2,DHL,1Z873AA255592009,2023-11-25 18:50:00,2023-11-28 18:50:00,2023-12-01 18:50:00,15.46,11.89,Delivered
7009,32014,3,FedEx,1Z485AA847982254,2023-02-22 00:25:00,2023-02-27 00:25:00,,22.92,9.12,In Transit
7010,20478,5,UPS,1Z537AA782460370,2024-08-18 17:45:00,2024-08-24 17:45:00,,10.48,21.77,In Transit
7011,45400,4,OnTrac,1Z493AA642094794,2024-05-18 05:24:00,2024-05-23 05:24:00,2024-05-25 05:24:00,5.46,6.24,Delivered
7012,19926,4,DHL,1Z294AA367826396,2024-12-21 06:27:00,2024-12-26 06:27:00,2024-12-27 06:27:00,9.01,2.55,Delivered
7013,10845,2,USPS,1Z773AA805194872,2024-12-27 22:26:00,2024-12-29 22:26:00,,22.34,24.92,In Transit
7014,32758,2,FedEx,1Z035AA855503602,2023-11-16 05:11:00,2023-11-19 05:11:00,,9.76,6.7,In Transit
7015,3911,2,FedEx,1Z215AA861128815,2024-04-26 08:38:00,2024-04-29 08:38:00,2024-04-28 08:38:00,11.75,2.25,Delivered
7016,16413,1,USPS,1Z298AA424570606,2024-12-02 12:32:00,2024-12-04 12:32:00,,12.09,17.27,In Transit
7017,20225,3,DHL,1Z647AA011228124,2024-11-28 00:16:00,2024-12-03 00:16:00,2024-12-05 00:16:00,9.7,9.0,Delivered
7018,13065,2,USPS,1Z987AA290445237,2023-09-26 10:32:00,2023-09-30 10:32:00,2023-10-03 10:32:00,8.19,20.39,Delivered
7019,14305,1,OnTrac,1Z651AA293932563,2024-07-16 07:01:00,2024-07-19 07:01:00,2024-07-20 07:01:00,4.89,18.27,Delivered
